topic_id  max_identical_content_rows  distinct_authors
--------  --------------------------  ----------------
0         49                          1               
1         11                          1               
2         40                          2               
3         62                          1               
4         1                           1               
5         2                           1               
6         2                           1               
7         24                          1               
8         6                           6               
9         1                           1               
10        5                           1               
11        7                           7               
12        12                          12              
13        3                           2               
14        3                           1               
15        10                          10              
