topic_id  label                              post_count
--------  ---------------------------------  ----------
6         mixed                              1794
15        news · photo · flickr              1526
1         mixed                              954
3         mixed                              910
8         mixed                              902
14        mixed                              752
5         agents · register                  722
2         trump · news                       720
9         bitcoin · price · sats             666
12        mixed                              641
10        mixed                              640
0         mixed                              565
4         mixed                              433
13        trading · bots · sylunara          323
11        mixed                              322
7         connecting · connection · service  309
