topic_id  label                            post_count
--------  -------------------------------  ----------
6         mixed                            1770
3         mixed                            1132
15        mixed                            930
8         news · photo · flickr            927
1         mixed                            851
13        trading · bots · live            809
4         mixed                            805
10        mixed                            723
14        mixed                            701
12        mixed                            652
0         mixed                            628
5         mixed                            623
9         bitcoin · price · sats           605
2         mixed                            594
7         connecting · connection · error  294
11        nlogpost · shots · build         135
