rows=12179 unique=11059
position baseline_event_id unique_event_id same
0 00000002ef29a3b28b3af3d08f20e0665e6ad9cb03f337126b20fa9528d777bb 00000002ef29a3b28b3af3d08f20e0665e6ad9cb03f337126b20fa9528d777bb True
1 73afe65a9f8e9aa35dbd4ff65ac08173392fa7aae777e0080944f876d5a77e72 73afe65a9f8e9aa35dbd4ff65ac08173392fa7aae777e0080944f876d5a77e72 True
2 000019175ac014b4d2ffabb3851aadbfb6b8b8ef85b86566879e002c6d3d7acb 000019175ac014b4d2ffabb3851aadbfb6b8b8ef85b86566879e002c6d3d7acb True
3 098f7feb23c14a604f8d426da8ccd0739f3b63460d3079d6eb4e278ccfdc1c36 098f7feb23c14a604f8d426da8ccd0739f3b63460d3079d6eb4e278ccfdc1c36 True
4 c1dfb190c049bc7f6b4da5fcae96f94141a9d12ce1422da86f4a039c02063be9 c1dfb190c049bc7f6b4da5fcae96f94141a9d12ce1422da86f4a039c02063be9 True
5 3cf2a773a5205d1474039ae792897ad9e1d001c3c814d6712b1886aeced7d076 3cf2a773a5205d1474039ae792897ad9e1d001c3c814d6712b1886aeced7d076 True
6 16863b0510a60867e816ba487b36cef1e9454d6fee31fc956131b1fccb38806f 16863b0510a60867e816ba487b36cef1e9454d6fee31fc956131b1fccb38806f True
7 fedf5c51c77be4c02f845c28476f1e2b7c058e89c58f8efb64fd547c65a56dda fedf5c51c77be4c02f845c28476f1e2b7c058e89c58f8efb64fd547c65a56dda True
8 fc7a03ba7382752b9cceca93b3321beca87bef9db604e6fbfe9f7baacf87344f fc7a03ba7382752b9cceca93b3321beca87bef9db604e6fbfe9f7baacf87344f True
9 d9ec53d07013555976d4c331aef3ce57333e43a0e99f745138b107ec0aefd47c d9ec53d07013555976d4c331aef3ce57333e43a0e99f745138b107ec0aefd47c True
10 08cf0d58d0b2bf21515a13eefc3d0877acb9189fc55b1d7597ca35000ee3ea8a 08cf0d58d0b2bf21515a13eefc3d0877acb9189fc55b1d7597ca35000ee3ea8a True
11 0cbd1294fe0168d74d91491b392299fb5c398f888bad3606a18f2039359d4ffb 0cbd1294fe0168d74d91491b392299fb5c398f888bad3606a18f2039359d4ffb True
12 52bc4ab227586c362b9c54316d1461d7bad63d8c4dced3ca725bc0e14ec6de0d 52bc4ab227586c362b9c54316d1461d7bad63d8c4dced3ca725bc0e14ec6de0d True
13 a79056d99484cdff8206a01cd26d3df221b75ed847e684fb52a6c28f9fa08d90 a79056d99484cdff8206a01cd26d3df221b75ed847e684fb52a6c28f9fa08d90 True
14 130b785da856c1dd392d95a8776fa622a07f4dc2be8d801bbb006c37ab5325c8 130b785da856c1dd392d95a8776fa622a07f4dc2be8d801bbb006c37ab5325c8 True
15 bb4a5a7d7d74ac5c58e73df1bf75e8231cc093b3417ebfebc925258f6c271f1c bb4a5a7d7d74ac5c58e73df1bf75e8231cc093b3417ebfebc925258f6c271f1c True
same_positions 16 of 16
