2026-09-14T16:45:17+08:00
    PID %CPU   RSS     ELAPSED NLWP CMD
1994971 76.7 246616      00:24   57 /tmp/meatybroth-goal3-target/release/meatybroth
run=1 code=200 ttfb=0.409421 total=0.409891 bytes=258827
run=2 code=200 ttfb=0.373522 total=0.373962 bytes=258827
run=3 code=200 ttfb=0.399037 total=0.399424 bytes=258827
run=4 code=200 ttfb=0.354266 total=0.354830 bytes=258827
run=5 code=200 ttfb=0.364502 total=0.365003 bytes=258827
run=6 code=200 ttfb=0.367871 total=0.368353 bytes=258827
run=7 code=200 ttfb=0.376898 total=0.377351 bytes=258827
run=8 code=200 ttfb=0.388348 total=0.388808 bytes=258827
run=9 code=200 ttfb=0.409342 total=0.409758 bytes=258827
run=10 code=200 ttfb=0.399697 total=0.400268 bytes=258827
median_total 0.3830795 max_total 0.409891 n 10
